;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CT_MODULE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_module_id;_unique_name;_name;_academic_year;_deptName;_staff1Name;_staff2Name;_tag1;_tag2;_tag3;_weekly_target;_total_target;_schedulable;_www;;;;;;;;;;;;;;;
837;3D Computer Graphics;3D Computer Graphics;;;;;;;;;;Y;;;;;;;;;;;;;;;;
838;Administrowanie SK;Administrowanie SK;;;;;;;;;;Y;;;;;;;;;;;;;;;;
839;Agile Methods Of Project Manag.;Agile Methods Of Project Manag.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
840;Algebra;Algebra;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
841;Algebra liniowa;Algebra liniowa;;;;;;;;;;Y;FTIMS;;;;;;;;;;;;;;;
842;Algebra z geometrią anal. I;Algebra z geometrią anal. I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
843;Algebra z geometrią analit. I;Algebra z geometrią analit. I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
844;Algorithms and data structures;Algorithms and data structures;;;;;;;;;;Y;;;;;;;;;;;;;;;;
845;Algoryt. i str. danych;Algoryt. i str. danych;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
846;Algorytmy i str. danych;Algorytmy i str. danych;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
847;Analiza danych;Analiza danych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
848;Analiza danych jakościowych;Analiza danych jakościowych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
849;Analiza danych w BRiM;Analiza danych w BRiM;;;;;;;;;;Y;;;;;;;;;;;;;;;;
850;Analiza danych_5sem;Analiza danych_5sem;;;;;;;;;;Y;;;;;;;;;;;;;;;;
851;Analiza funkconalna w zastosowaniach;Analiza funkconalna w zastosowaniach;;;;;;;;;;Y;;;;;;;;;;;;;;;;
852;Analiza funkcyjna w zast.;Analiza funkcyjna w zast.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
853;Analiza matem. i algebra;Analiza matem. i algebra;;;;;;;;;;Y;;;;;;;;;;;;;;;;
